"","event-id","visible","timestamp","gps:activity-count","argos:altitude","battery-charging-current","cpu-temperature","external-temperature","gps:dop","gps:fix-type-raw","gps:satellite-count","gps:twilight","height-above-ellipsoid","lat-upper","long-upper","mortality-status","transmission-protocol","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","Date","Time","Year","Month","Day","location-long","location-lat"
"26",23489298966,TRUE,2021-08-03 13:00:41,NA,NA,NA,19,NA,2,"3D valid GPS Fix",5,"BRIGHT",95,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"13:00:41","2021","08","03",-72.464492439633,41.5061635785551
"27",23489298967,TRUE,2021-08-03 14:00:40,NA,NA,NA,23,NA,4.6,"3D valid GPS Fix",4,"BRIGHT",80,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"14:00:40","2021","08","03",-72.4644647582958,41.5062063706131
"28",23489298968,TRUE,2021-08-03 15:00:40,NA,NA,NA,27,NA,2.8,"3D valid GPS Fix",5,"BRIGHT",91,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"15:00:40","2021","08","03",-72.4645236883218,41.50619352759
"29",23489299142,TRUE,2021-08-03 16:00:38,NA,NA,NA,28,NA,3,"3D valid GPS Fix",5,"BRIGHT",70,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"16:00:38","2021","08","03",-72.4644815717859,41.5062186212974
"30",23489298969,TRUE,2021-08-03 17:00:10,NA,NA,NA,31,NA,2.6,"3D valid GPS Fix",5,"BRIGHT",80,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"17:00:10","2021","08","03",-72.4644719759224,41.5061815061078
"31",23489298970,TRUE,2021-08-03 18:00:17,NA,NA,NA,33,NA,4.2,"3D valid GPS Fix",4,"BRIGHT",44,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"18:00:17","2021","08","03",-72.4645163055271,41.5068287995279
"32",23489298971,TRUE,2021-08-03 19:00:56,NA,NA,NA,32,NA,8.4,"3D valid GPS Fix",4,"BRIGHT",94,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"19:00:56","2021","08","03",-72.4645080639692,41.5061920385392
"33",23489299143,TRUE,2021-08-03 20:00:38,NA,NA,NA,36,NA,2.2,"3D valid GPS Fix",5,"BRIGHT",93,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"20:00:38","2021","08","03",-72.4644936287677,41.5062282819873
"34",23489298972,TRUE,2021-08-03 21:00:33,NA,NA,NA,31,NA,3.2,"3D valid GPS Fix",4,"BRIGHT",80,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"21:00:33","2021","08","03",-72.4644575406634,41.5062312351187
"35",23489298973,TRUE,2021-08-03 22:02:26,NA,NA,NA,27,NA,4.2,"3D valid GPS Fix",4,"BRIGHT",83,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"22:02:26","2021","08","03",-72.4645549370762,41.5061830202002
